suburb,med_price
LAVERTON SOUTH,767500
LENEVA,642500
LEONGATHA,556300
LEOPOLD,708000
LILYDALE,860000
LINDENOW,467000
LISMORE,265000
LOCH,405000
LOCH SPORT,359000
LONG GULLY,444000
LONGWARRY,567500
LORNE,2100000
LOVELY BANKS,715000
LOWER PLENTY,1410000
LUCAS,697500
LUCKNOW,515000
LYNBROOK,813300
LYNDHURST,970000
LYSTERFIELD,1315000
LYSTERFIELD SOUTH,1775000
MACEDON,1299000
MACLEOD,1155000
MADDINGLEY,650000
MAFFRA,355000
MAIDEN GULLY,735000
MAIDSTONE,810000
MALDON,850000
MALLACOOTA,545000
MALMSBURY,785000
MALVERN,2750000
MALVERN EAST,2398000
MAMBOURIN,622500
MANIFOLD HEIGHTS,1236300
MANOR LAKES,623000
MANSFIELD,790000
MARIBYRNONG,1282500
MARLO,850000
MARONG,584500
MARSHALL,646000
MARYBOROUGH,377500
MARYSVILLE,770000
MCCRAE,1472500
MCKENZIE HILL,925000
MCKINNON,1805000
MEADOW HEIGHTS,547500
MELTON,470000
MELTON SOUTH,488000
MELTON WEST,516300
MENTONE,1455000
MENZIES CREEK,980000
MERBEIN,330000
MERINDA PARK,590000
MERNDA,669000
MERRIJIG (MANSFIELD),1037500
METUNG,485000
MICKLEHAM,695000
MIDDLE PARK,2340000
MILDURA,430000
MILL PARK,749300
MILLGROVE,590000
MINERS REST,585000
MINYIP,160000
MIRBOO NORTH,450000
MITCHAM,1195000
MITCHELL PARK,473800
MOE,365000
MONBULK,746300
MONT ALBERT,1980000
MONT ALBERT NORTH,1490000
MONTMORENCY,1050000
MONTROSE,890000
Moolap,1155800
MOONEE PONDS,1525000
MOORABBIN,1290000
MOOROOLBARK,800000
MOOROOPNA,390000
MORDIALLOC,1375000
MORNINGTON,1070000
MORTLAKE,282500
MORWELL,335000
MOUNT BEAUTY,527500
MOUNT CLEAR,498500
MOUNT COTTRELL,530000
MOUNT DANDENONG,942500
MOUNT DUNEED,732500
MOUNT EGERTON,607500
MOUNT ELIZA,1603000
MOUNT EVELYN,785000
MOUNT HELEN,680000
MOUNT MACEDON,1423600
MOUNT MARTHA,1240000
MOUNT PLEASANT,475000
MOUNT WAVERLEY,1451000
MULGRAVE,1067800
MURCHISON,435000
MURRUMBEENA,1598500
MURTOA,180000
MYRTLEFORD,584000
NAGAMBIE,655000
NAR NAR GOON,825000
NARRE WARREN,718500
NARRE WARREN NORTH,1655000
NARRE WARREN SOUTH,767500
NATHALIA,422500
NEERIM SOUTH,610000
NERRINA,873000
NEW GISBORNE,880000
NEWBOROUGH,410500
NEWCOMB,597500
NEWINGTON,650000
NEWLANDS ARM,675000
NEWPORT,1272500
NEWSTEAD,525000
NEWTOWN (GREATER GEELONG),1175000
NHILL,257000
NICHOLS POINT,815000
NIDDRIE,1152500
NOBLE PARK,720300
NOBLE PARK NORTH,810000
NORLANE,450000
NORTH BENDIGO,511000
NORTH GEELONG,705300
NORTH MELBOURNE,1370000
NORTH SHORE,625000
NORTH WONTHAGGI,675000
NORTHCOTE,1660000
NOTTING HILL,1058000
NUMURKAH,310000
NUNAWADING,1090000
NYAH WEST,175000
OAK PARK,1002000
OAKLEIGH,1318500
OAKLEIGH EAST,1029500
OAKLEIGH SOUTH,1034800
OCEAN GROVE,1100000
OFFICER,682500
OFFICER SOUTH,882500
OLINDA,815000
OMEO,387500
ORBOST,328800
ORMOND,1915000
OSBORNE,1175000
OUYEN,245000
PAKENHAM,640000
PARADISE BEACH,275000
PARK ORCHARDS,1735000
PARKDALE,1285000
PARKVILLE,2120000
PASCOE VALE,1015000
PASCOE VALE SOUTH,1190000
PATTERSON GARDENS,1295000
PATTERSON LAKES,1700000
PAYNESVILLE,542500
PEARCEDALE,777500
PENSHURST,230000
PETERBOROUGH,680000
PIONEER BAY,540000
PLENTY,1575000
POINT COOK,790000
POINT LONSDALE,1397500
POREPUNKAH,942500
PORT FAIRY,900000
PORT MELBOURNE,1615000
PORTARLINGTON,910000
PORTLAND,440000
PORTLAND NORTH,577500
PORTSEA,4200000
PRAHRAN,1735000
PRESTON,1078000
PRINCES HILL,2435000
QUARRY HILL,810000
QUEENSCLIFF,1550000
RAINBOW,214500
RAWSON,245000
RAYMOND ISLAND,555000
RED CLIFFS,330000
RED HILL,1930000
RED HILL SOUTH,1750000
REDAN,515000
RESEARCH,1109000
RESERVOIR,900000
RHYLL,798800
RICHMOND,1400000
RIDDELLS CREEK,840000
RINGWOOD,970000
RINGWOOD EAST,975000
RINGWOOD NORTH,1120000
RIPPLESIDE,1190000
RIPPONLEA,1500000
ROBINVALE,315000
ROCHESTER,290000
ROCKBANK,635000
ROMSEY,809000
ROSANNA,992500
ROSEBUD,742500
